Timestamp,Temperature,Co2Concentration
2021-01-15T00:11:36,278,510
2021-01-15T00:13:46,277,505
2021-01-15T00:15:26,277,500
2021-01-15T00:16:36,277,505
2021-01-15T00:19:26,277,510
2021-01-15T00:20:46,277,515
2021-01-15T00:25:56,277,510
2021-01-15T00:27:46,277,505
2021-01-15T00:28:46,277,500
2021-01-15T00:34:36,276,506
2021-01-15T00:36:16,276,511
2021-01-15T00:38:56,276,516
2021-01-15T00:42:46,275,511
2021-01-15T00:46:06,275,505
2021-01-15T00:49:26,275,510
2021-01-15T00:52:16,275,505
2021-01-15T00:54:36,275,510
2021-01-15T00:55:36,275,505
2021-01-15T01:07:16,275,500
2021-01-15T01:13:46,277,495
2021-01-15T01:16:16,277,500
2021-01-15T01:19:16,277,495
2021-01-15T01:23:06,277,490
2021-01-15T01:35:36,277,485
2021-01-15T01:39:46,277,490
2021-01-15T01:47:06,276,485
2021-01-15T01:50:46,275,490
2021-01-15T01:55:16,275,495
2021-01-15T02:03:26,275,489
2021-01-15T02:04:26,275,484
2021-01-15T02:08:16,275,489
2021-01-15T02:13:16,275,495
2021-01-15T02:14:36,274,490
2021-01-15T02:18:36,274,485
2021-01-15T02:20:36,274,480
2021-01-15T02:29:16,275,485
2021-01-15T02:30:36,275,480
2021-01-15T02:34:56,276,475
2021-01-15T02:35:56,276,467
2021-01-15T02:39:26,277,472
2021-01-15T02:40:26,277,467
2021-01-15T02:42:56,277,472
2021-01-15T02:44:16,277,477
2021-01-15T02:51:56,277,472
2021-01-15T02:58:26,276,467
2021-01-15T03:00:36,277,462
2021-01-15T03:01:56,277,457
2021-01-15T03:08:06,275,462
2021-01-15T03:13:36,276,457
2021-01-15T03:15:06,275,463
2021-01-15T03:20:06,274,468
2021-01-15T03:23:06,274,463
2021-01-15T03:32:46,274,457
2021-01-15T03:34:46,274,452
2021-01-15T03:36:06,274,447
2021-01-15T03:46:56,274,442
2021-01-15T03:50:36,275,447
2021-01-15T03:52:36,275,452
2021-01-15T04:05:36,277,447
2021-01-15T04:10:16,275,442
2021-01-15T04:13:36,275,437
2021-01-15T04:15:56,275,432
2021-01-15T04:18:06,275,427
2021-01-15T04:19:26,275,432
2021-01-15T04:30:36,274,437
2021-01-15T04:35:56,274,432
2021-01-15T04:37:36,274,427
2021-01-15T04:52:56,273,422
2021-01-15T04:58:36,275,427
2021-01-15T05:05:46,276,422
2021-01-15T05:12:46,276,417
2021-01-15T05:14:36,275,422
2021-01-15T05:19:36,275,417
2021-01-15T05:22:36,275,422
2021-01-15T05:24:46,274,417
2021-01-15T05:27:26,274,412
2021-01-15T05:29:16,274,407
2021-01-15T05:33:46,274,402
2021-01-15T05:45:56,273,407
2021-01-15T06:01:56,272,402
2021-01-15T06:04:36,274,407
2021-01-15T06:06:06,274,402
2021-01-15T07:50:36,280,407
2021-01-15T08:01:16,282,401
2021-01-15T08:23:06,280,406
2021-01-15T08:24:06,279,450
2021-01-15T08:25:06,278,490
2021-01-15T08:26:06,278,510
2021-01-15T08:27:06,278,519
2021-01-15T08:28:36,278,524
2021-01-15T08:29:46,279,518
2021-01-15T08:30:46,279,511
2021-01-15T08:31:46,280,506
2021-01-15T08:35:36,279,511
2021-01-15T08:36:39,280,519
2021-01-15T08:38:38,280,524
2021-01-15T08:39:46,280,529
2021-01-15T08:43:26,280,534
2021-01-15T08:47:36,280,529
2021-01-15T08:49:06,280,534
2021-01-15T08:50:46,280,540
2021-01-15T08:53:36,280,545
2021-01-15T08:54:56,280,550
2021-01-15T08:56:06,280,556
2021-01-15T08:57:36,280,562
2021-01-15T09:01:16,278,567
2021-01-15T09:03:16,278,572
2021-01-15T09:06:46,279,567
2021-01-15T09:08:06,278,572
2021-01-15T09:10:16,279,577
2021-01-15T09:13:56,280,582
2021-01-15T09:14:56,279,587
2021-01-15T09:16:36,279,592
2021-01-15T09:17:36,278,597
2021-01-15T09:19:56,278,591
2021-01-15T09:22:06,275,585
2021-01-15T09:23:06,274,580
2021-01-15T09:24:06,273,568
2021-01-15T09:25:06,272,554
2021-01-15T09:26:06,272,543
2021-01-15T09:27:06,271,562
2021-01-15T09:28:06,270,556
2021-01-15T09:29:06,270,550
2021-01-15T09:31:46,269,555
2021-01-15T09:33:56,270,560
2021-01-15T09:34:56,270,567
2021-01-15T09:35:56,271,578
2021-01-15T09:36:56,272,588
2021-01-15T09:37:56,272,599
2021-01-15T09:38:56,273,611
2021-01-15T09:39:56,274,620
2021-01-15T09:40:56,274,633
2021-01-15T09:41:56,274,641
2021-01-15T09:42:56,274,649
2021-01-15T09:44:06,275,654
2021-01-15T09:45:06,275,660
2021-01-15T09:46:06,275,667
2021-01-15T09:47:36,275,672
2021-01-15T09:49:06,276,677
2021-01-15T09:50:46,276,682
2021-01-15T09:51:46,276,692
2021-01-15T09:52:46,276,698
2021-01-15T09:53:46,277,705
2021-01-15T09:55:26,277,711
2021-01-15T09:57:06,277,717
2021-01-15T09:58:06,277,729
2021-01-15T09:59:06,277,739
2021-01-15T10:00:06,277,745
2021-01-15T10:01:06,278,755
2021-01-15T10:03:16,270,745
2021-01-15T10:04:16,266,556
2021-01-15T10:05:16,265,497
2021-01-15T10:06:16,265,488
2021-01-15T10:08:46,268,496
2021-01-15T10:09:46,268,523
2021-01-15T10:10:46,270,547
2021-01-15T10:11:46,271,569
2021-01-15T10:12:46,271,589
2021-01-15T10:13:46,272,601
2021-01-15T10:14:46,272,611
2021-01-15T10:15:46,274,619
2021-01-15T10:16:46,275,626
2021-01-15T10:18:06,275,631
2021-01-15T10:19:06,277,636
2021-01-15T10:20:26,277,641
2021-01-15T10:21:26,277,647
2021-01-15T10:22:26,278,655
2021-01-15T10:23:26,278,661
2021-01-15T10:24:26,278,667
2021-01-15T10:27:46,275,662
2021-01-15T10:28:46,275,657
2021-01-15T10:29:46,275,651
2021-01-15T10:30:46,275,644
2021-01-15T10:34:36,277,649
2021-01-15T10:35:36,278,660
2021-01-15T10:36:36,278,674
2021-01-15T10:37:36,279,693
2021-01-15T10:38:36,278,707
2021-01-15T10:39:36,278,719
2021-01-15T10:40:36,279,729
2021-01-15T10:41:36,278,737
2021-01-15T10:42:56,280,742
2021-01-15T10:44:56,280,747
2021-01-15T10:49:06,280,752
2021-01-15T10:50:06,280,760
2021-01-15T10:51:06,280,768
2021-01-15T10:52:06,280,777
2021-01-15T10:53:06,280,786
2021-01-15T10:54:06,280,795
2021-01-15T10:55:06,280,802
2021-01-15T10:56:06,281,808
2021-01-15T10:57:26,281,813
2021-01-15T10:58:26,280,818
2021-01-15T10:59:36,280,823
2021-01-15T11:03:36,280,828
2021-01-15T11:08:06,280,833
2021-01-15T11:10:46,280,838
2021-01-15T11:11:46,280,848
