Timestamp,Temperature,Co2Concentration
2021-01-11T00:01:13,256,1795
2021-01-11T00:02:13,255,1800
2021-01-11T00:07:33,255,1806
2021-01-11T00:09:03,255,1800
2021-01-11T00:12:03,255,1805
2021-01-11T00:13:03,256,1813
2021-01-11T00:14:13,255,1808
2021-01-11T00:15:13,255,1802
2021-01-11T00:16:13,255,1796
2021-01-11T00:19:53,255,1791
2021-01-11T00:20:53,255,1779
2021-01-11T00:21:53,255,1770
2021-01-11T00:22:53,254,1765
2021-01-11T00:24:33,254,1760
2021-01-11T00:25:33,255,1752
2021-01-11T00:26:33,254,1740
2021-01-11T00:28:03,254,1734
2021-01-11T00:29:03,254,1725
2021-01-11T00:30:03,252,1720
2021-01-11T00:32:43,252,1713
2021-01-11T00:35:53,251,1707
2021-01-11T00:36:53,251,1702
2021-01-11T00:38:23,250,1696
2021-01-11T00:39:23,251,1683
2021-01-11T00:41:43,250,1678
2021-01-11T00:42:53,249,1672
2021-01-11T00:43:53,249,1664
2021-01-11T00:45:03,249,1658
2021-01-11T00:46:03,249,1653
2021-01-11T00:49:53,248,1648
2021-01-11T00:51:33,248,1643
2021-01-11T00:52:43,248,1638
2021-01-11T00:55:03,247,1633
2021-01-11T00:56:03,247,1628
2021-01-11T00:57:13,247,1622
2021-01-11T00:58:13,247,1606
2021-01-11T00:59:13,247,1591
2021-01-11T01:00:13,247,1586
2021-01-11T01:01:13,247,1576
2021-01-11T01:02:13,247,1565
2021-01-11T01:03:43,247,1560
2021-01-11T01:04:43,246,1555
2021-01-11T01:06:33,246,1550
2021-01-11T01:08:03,246,1545
2021-01-11T01:10:53,246,1540
2021-01-11T01:11:53,245,1532
2021-01-11T01:13:43,245,1537
2021-01-11T01:15:03,245,1531
2021-01-11T01:16:03,245,1524
2021-01-11T01:19:33,243,1496
2021-01-11T01:20:53,244,1490
2021-01-11T01:21:53,244,1474
2021-01-11T01:23:03,244,1466
2021-01-11T01:24:23,244,1461
2021-01-11T01:25:23,244,1452
2021-01-11T01:26:23,244,1441
2021-01-11T01:27:23,244,1436
2021-01-11T01:28:23,244,1428
2021-01-11T01:29:23,244,1422
2021-01-11T01:30:23,244,1415
2021-01-11T01:31:23,244,1409
2021-01-11T01:34:53,243,1404
2021-01-11T01:36:03,243,1399
2021-01-11T01:37:03,243,1393
2021-01-11T01:38:03,244,1383
2021-01-11T01:39:03,243,1375
2021-01-11T01:40:03,243,1367
2021-01-11T01:41:03,243,1361
2021-01-11T01:42:33,242,1356
2021-01-11T01:43:33,242,1348
2021-01-11T01:44:43,242,1342
2021-01-11T01:45:43,242,1353
2021-01-11T01:46:43,242,1347
2021-01-11T01:48:23,242,1342
2021-01-11T01:49:33,242,1337
2021-01-11T01:50:43,242,1343
2021-01-11T01:52:03,242,1348
2021-01-11T01:53:33,242,1342
2021-01-11T01:55:33,242,1337
2021-01-11T01:57:33,242,1332
2021-01-11T01:59:03,242,1327
2021-01-11T02:00:03,241,1321
2021-01-11T02:01:03,241,1313
2021-01-11T02:02:03,241,1306
2021-01-11T02:03:03,241,1297
2021-01-11T02:04:53,241,1292
2021-01-11T02:06:03,241,1297
2021-01-11T02:08:53,241,1292
2021-01-11T02:11:13,241,1286
2021-01-11T02:12:33,241,1280
2021-01-11T02:13:33,242,1270
2021-01-11T02:14:33,241,1260
2021-01-11T02:16:13,241,1255
2021-01-11T02:17:13,241,1250
2021-01-11T02:18:23,241,1244
2021-01-11T02:19:43,241,1239
2021-01-11T02:20:43,241,1233
2021-01-11T02:22:33,241,1227
2021-01-11T02:23:33,241,1218
2021-01-11T02:24:43,240,1213
2021-01-11T02:26:13,241,1208
2021-01-11T02:29:33,241,1202
2021-01-11T02:32:53,240,1196
2021-01-11T02:33:53,240,1183
2021-01-11T02:34:53,241,1177
2021-01-11T02:35:53,240,1170
2021-01-11T02:37:23,240,1165
2021-01-11T02:38:23,240,1158
2021-01-11T02:40:53,240,1153
2021-01-11T02:43:23,240,1147
2021-01-11T02:45:03,240,1142
2021-01-11T02:46:03,240,1137
2021-01-11T02:47:23,240,1130
2021-01-11T02:48:23,240,1121
2021-01-11T02:49:23,239,1115
2021-01-11T02:50:23,240,1109
2021-01-11T02:52:33,239,1104
2021-01-11T02:53:33,240,1099
2021-01-11T02:54:33,239,1094
2021-01-11T02:55:33,239,1082
2021-01-11T02:56:33,239,1074
2021-01-11T02:57:43,239,1067
2021-01-11T03:01:03,238,1059
2021-01-11T03:02:13,239,1054
2021-01-11T03:03:13,239,1060
2021-01-11T03:05:23,239,1054
2021-01-11T03:06:53,239,1047
2021-01-11T03:07:53,238,1037
2021-01-11T03:11:23,238,1032
2021-01-11T03:13:03,239,1027
2021-01-11T03:17:13,238,1022
2021-01-11T03:18:23,238,1017
2021-01-11T03:19:23,238,1009
2021-01-11T03:22:33,238,1003
2021-01-11T03:23:33,238,997
2021-01-11T03:24:33,238,988
2021-01-11T03:25:33,237,981
2021-01-11T03:26:33,238,975
2021-01-11T03:28:23,238,970
2021-01-11T03:29:23,237,965
2021-01-11T03:30:23,237,960
2021-01-11T03:32:03,238,954
2021-01-11T03:36:43,237,949
2021-01-11T03:37:53,237,944
2021-01-11T03:39:13,237,939
2021-01-11T03:40:33,237,934
2021-01-11T03:41:33,237,922
2021-01-11T03:42:33,237,917
2021-01-11T03:43:33,237,912
2021-01-11T03:44:33,237,902
2021-01-11T03:46:33,237,897
2021-01-11T03:51:23,237,892
2021-01-11T03:55:13,237,887
2021-01-11T03:58:03,236,893
2021-01-11T04:01:33,237,888
2021-01-11T04:05:53,236,883
2021-01-11T04:07:13,237,878
2021-01-11T04:09:33,236,873
2021-01-11T04:12:03,235,868
2021-01-11T04:14:33,235,862
2021-01-11T04:16:13,236,857
2021-01-11T04:18:03,236,852
2021-01-11T04:20:03,236,847
2021-01-11T04:22:33,235,842
2021-01-11T04:27:43,236,837
2021-01-11T04:33:43,235,832
2021-01-11T04:35:13,235,827
2021-01-11T04:38:43,235,822
2021-01-11T04:39:43,235,817
2021-01-11T04:41:33,235,812
2021-01-11T04:44:33,235,807
2021-01-11T04:47:33,235,802
2021-01-11T04:51:13,235,797
2021-01-11T04:55:33,235,792
2021-01-11T04:58:43,234,787
2021-01-11T05:00:23,235,782
2021-01-11T05:01:23,234,776
2021-01-11T05:04:33,235,771
2021-01-11T05:07:23,234,766
2021-01-11T05:09:13,234,772
2021-01-11T05:10:13,234,767
2021-01-11T05:12:13,235,762
2021-01-11T05:13:33,235,756
2021-01-11T05:16:23,234,750
2021-01-11T05:17:23,234,745
2021-01-11T05:30:43,234,740
2021-01-11T05:34:23,234,735
2021-01-11T05:36:23,234,730
2021-01-11T05:38:23,234,725
2021-01-11T05:40:33,233,720
2021-01-11T05:42:53,234,725
2021-01-11T05:45:23,233,720
2021-01-11T05:46:23,233,715
2021-01-11T05:47:43,234,710
2021-01-11T05:49:13,233,705
2021-01-11T05:50:23,234,700
2021-01-11T05:51:43,234,695
2021-01-11T05:53:43,234,690
2021-01-11T06:02:23,233,695
2021-01-11T06:03:33,232,690
2021-01-11T06:05:03,234,685
2021-01-11T06:09:33,232,680
2021-01-11T06:10:53,233,675
2021-01-11T06:13:43,232,669
2021-01-11T06:16:13,234,664
2021-01-11T06:17:13,233,658
2021-01-11T06:27:23,232,653
2021-01-11T06:35:13,232,648
2021-01-11T06:37:53,232,643
2021-01-11T06:38:53,232,638
2021-01-11T06:41:23,232,633
2021-01-11T06:48:43,231,628
2021-01-11T06:51:33,233,622
2021-01-11T06:52:33,232,617
2021-01-11T06:55:53,232,612
2021-01-11T06:58:03,232,607
2021-01-11T07:03:13,232,602
2021-01-11T07:10:53,232,597
2021-01-11T07:15:53,231,592
2021-01-11T07:18:53,232,586
2021-01-11T07:21:03,231,581
2021-01-11T07:23:33,232,586
2021-01-11T07:24:43,231,592
2021-01-11T07:31:03,231,587
2021-01-11T07:32:03,231,580
2021-01-11T07:33:13,231,574
2021-01-11T07:35:13,231,569
2021-01-11T07:41:13,230,574
2021-01-11T07:42:13,231,582
2021-01-11T07:43:13,231,589
2021-01-11T07:44:13,230,600
2021-01-11T07:45:13,230,611
2021-01-11T07:46:13,230,619
2021-01-11T07:50:13,230,614
2021-01-11T07:51:13,230,606
2021-01-11T07:52:23,230,601
2021-01-11T07:53:23,230,595
2021-01-11T07:54:43,230,590
2021-01-11T07:59:53,230,585
2021-01-11T08:02:33,226,578
2021-01-11T08:03:33,216,392
2021-01-11T08:04:33,207,384
2021-01-11T08:25:05,221,389
2021-01-11T08:34:45,234,394
2021-01-11T08:44:45,238,399
2021-01-11T08:47:15,240,404
2021-01-11T08:48:15,241,412
2021-01-11T08:49:15,242,421
2021-01-11T08:50:15,244,433
2021-01-11T08:51:15,245,443
2021-01-11T08:52:15,246,453
2021-01-11T08:53:15,248,462
2021-01-11T08:54:15,250,469
2021-01-11T08:55:25,251,474
2021-01-11T08:56:35,252,479
2021-01-11T08:58:45,253,484
2021-01-11T08:59:45,254,516
2021-01-11T09:00:45,255,521
2021-01-11T09:02:15,255,526
2021-01-11T09:03:15,257,532
2021-01-11T09:04:15,257,539
2021-01-11T09:05:25,258,544
2021-01-11T09:07:55,259,549
2021-01-11T09:11:15,260,555
2021-01-11T09:12:15,260,564
2021-01-11T09:13:15,260,571
2021-01-11T09:14:15,261,580
2021-01-11T09:15:45,261,586
2021-01-11T09:16:45,261,592
2021-01-11T09:18:05,262,598
2021-01-11T09:19:05,262,605
2021-01-11T09:21:15,263,600
2021-01-11T09:22:15,264,607
2021-01-11T09:23:15,264,612
2021-01-11T09:24:15,265,618
2021-01-11T09:25:35,264,623
2021-01-11T09:26:45,263,618
2021-01-11T09:29:35,262,623
2021-01-11T09:33:45,260,629
2021-01-11T09:34:45,260,642
2021-01-11T09:35:45,260,660
2021-01-11T09:36:45,260,682
2021-01-11T09:37:45,260,700
2021-01-11T09:38:45,259,720
2021-01-11T09:39:45,259,738
2021-01-11T09:40:45,259,755
2021-01-11T09:41:45,260,769
2021-01-11T09:42:45,259,776
2021-01-11T09:43:45,260,785
2021-01-11T09:44:45,259,797
2021-01-11T09:45:45,259,808
2021-01-11T09:46:45,259,813
2021-01-11T09:48:45,258,818
2021-01-11T09:50:15,259,823
2021-01-11T09:51:55,260,828
2021-01-11T09:52:55,260,834
2021-01-11T09:54:55,262,839
2021-01-11T09:56:55,264,844
2021-01-11T09:57:55,264,850
2021-01-11T09:59:35,264,856
2021-01-11T10:01:35,264,850
2021-01-11T10:03:15,265,857
2021-01-11T10:07:25,267,862
2021-01-11T10:09:55,267,867
2021-01-11T10:10:55,268,875
2021-01-11T10:13:25,268,880
2021-01-11T10:15:15,269,885
2021-01-11T10:16:15,268,891
2021-01-11T10:17:25,268,896
2021-01-11T10:18:45,269,902
2021-01-11T10:20:05,270,908
2021-01-11T10:21:15,270,915
2021-01-11T10:22:15,270,924
2021-01-11T10:23:15,271,930
2021-01-11T10:24:55,271,924
2021-01-11T10:25:55,271,933
2021-01-11T10:26:55,271,944
2021-01-11T10:28:35,272,937
2021-01-11T10:31:55,272,944
2021-01-11T10:32:55,272,949
2021-01-11T10:33:55,272,959
2021-01-11T10:34:55,272,971
2021-01-11T10:35:55,272,978
2021-01-11T10:37:15,272,983
2021-01-11T10:38:25,272,989
2021-01-11T10:39:25,273,995
2021-01-11T10:40:25,273,1003
2021-01-11T10:41:35,273,1009
2021-01-11T10:42:35,274,1019
2021-01-11T10:43:35,274,1027
2021-01-11T10:44:35,274,1032
2021-01-11T10:46:15,274,1038
2021-01-11T10:47:35,274,1043
2021-01-11T10:48:45,275,1080
2021-01-11T10:49:45,274,1085
2021-01-11T10:52:05,274,1090
2021-01-11T10:53:05,274,1096
2021-01-11T10:54:35,274,1090
2021-01-11T10:55:35,274,1082
2021-01-11T10:56:35,272,1072
2021-01-11T10:57:35,271,1058
2021-01-11T10:58:35,271,1043
2021-01-11T10:59:35,269,1024
2021-01-11T11:00:35,258,538
2021-01-11T11:01:35,247,393
2021-01-11T11:08:25,254,398
2021-01-11T11:10:15,258,405
2021-01-11T11:11:15,259,416
2021-01-11T11:12:15,260,424
2021-01-11T11:13:15,262,429
2021-01-11T11:14:15,262,436
2021-01-11T11:15:15,263,443
2021-01-11T11:16:15,263,453
2021-01-11T11:18:15,265,458
2021-01-11T11:19:15,265,463
2021-01-11T11:20:45,265,468
2021-01-11T11:21:45,265,475
2021-01-11T11:22:45,265,480
2021-01-11T11:23:45,265,485
2021-01-11T11:24:45,265,492
2021-01-11T11:25:45,265,501
2021-01-11T11:26:45,264,508
2021-01-11T11:27:45,265,517
2021-01-11T11:28:45,265,526
2021-01-11T11:29:45,266,532
2021-01-11T11:30:45,265,538
2021-01-11T11:31:45,266,544
2021-01-11T11:33:15,265,549
2021-01-11T11:35:15,265,554
2021-01-11T11:36:15,266,560
2021-01-11T11:37:15,265,569
2021-01-11T11:38:15,265,576
2021-01-11T11:39:15,265,583
2021-01-11T11:40:25,267,588
2021-01-11T11:41:55,265,593
2021-01-11T11:42:55,265,598
2021-01-11T11:43:55,264,603
2021-01-11T11:49:45,265,608
2021-01-11T11:50:55,267,613
2021-01-11T11:52:55,268,619
2021-01-11T11:54:05,268,624
2021-01-11T11:55:05,268,633
2021-01-11T11:56:05,268,642
2021-01-11T11:57:05,268,650
2021-01-11T11:58:05,270,656
2021-01-11T11:59:55,271,661
2021-01-11T12:01:05,271,666
2021-01-11T12:02:05,271,672
2021-01-11T12:04:25,272,677
2021-01-11T12:06:45,272,682
2021-01-11T12:09:55,272,687
2021-01-11T12:10:55,273,692
2021-01-11T12:12:05,273,697
2021-01-11T12:13:05,273,702
2021-01-11T12:14:55,274,707
2021-01-11T12:15:55,274,717
2021-01-11T12:17:05,274,723
2021-01-11T12:19:25,271,718
2021-01-11T12:20:25,270,713
2021-01-11T12:21:25,268,699
2021-01-11T12:22:25,267,672
2021-01-11T12:23:25,265,645
2021-01-11T12:24:25,265,627
2021-01-11T12:27:45,263,632
2021-01-11T12:28:45,263,651
2021-01-11T12:29:45,262,675
2021-01-11T12:30:45,262,701
2021-01-11T12:31:45,261,723
2021-01-11T12:32:45,261,742
2021-01-11T12:33:45,260,750
2021-01-11T12:34:45,260,760
2021-01-11T12:35:45,261,769
2021-01-11T12:36:55,263,774
2021-01-11T12:42:35,268,780
2021-01-11T12:43:45,269,786
2021-01-11T12:46:35,271,791
2021-01-11T12:47:45,271,796
2021-01-11T12:49:05,272,801
2021-01-11T12:50:45,273,806
2021-01-11T12:53:05,273,811
2021-01-11T12:54:05,273,819
2021-01-11T12:55:45,274,824
2021-01-11T12:56:45,274,838
2021-01-11T12:57:45,274,843
2021-01-11T13:01:45,275,837
2021-01-11T13:04:05,275,842
2021-01-11T13:07:05,276,847
2021-01-11T13:08:05,276,852
2021-01-11T13:09:05,276,859
2021-01-11T13:10:05,276,866
2021-01-11T13:11:05,275,872
2021-01-11T13:12:05,276,878
2021-01-11T13:16:15,277,883
2021-01-11T13:19:05,276,888
2021-01-11T13:23:05,274,883
2021-01-11T13:27:15,275,878
2021-01-11T13:29:25,276,883
2021-01-11T13:30:25,277,890
2021-01-11T13:31:45,277,895
2021-01-11T13:33:15,277,900
2021-01-11T13:34:15,278,906
2021-01-11T13:35:15,277,914
2021-01-11T13:36:35,278,919
2021-01-11T13:38:35,277,924
2021-01-11T13:39:35,278,931
2021-01-11T13:43:45,278,936
2021-01-11T13:45:25,278,941
2021-01-11T13:47:15,278,936
2021-01-11T13:48:35,277,941
2021-01-11T13:49:55,277,946
2021-01-11T13:50:55,277,954
2021-01-11T13:51:55,278,964
2021-01-11T13:52:55,278,981
2021-01-11T13:53:55,278,989
2021-01-11T13:54:55,278,1002
2021-01-11T13:55:55,278,1014
2021-01-11T13:57:55,279,1019
2021-01-11T13:59:25,278,1024
2021-01-11T14:00:45,278,1019
2021-01-11T14:02:25,278,1025
2021-01-11T14:03:55,278,1030
2021-01-11T14:04:55,279,1037
2021-01-11T14:05:55,274,1028
2021-01-11T14:06:55,260,395
2021-01-11T14:07:55,248,388
2021-01-11T14:08:55,240,383
2021-01-11T14:15:45,254,388
2021-01-11T14:32:05,268,393
2021-01-11T14:46:15,272,398
2021-01-11T14:57:05,274,403
2021-01-11T14:58:05,274,413
2021-01-11T14:59:05,274,421
2021-01-11T15:00:05,274,449
2021-01-11T15:01:05,275,456
2021-01-11T15:02:05,275,463
2021-01-11T15:03:35,274,468
2021-01-11T15:04:35,275,474
2021-01-11T15:05:35,275,479
2021-01-11T15:06:35,275,489
2021-01-11T15:07:35,275,498
2021-01-11T15:08:35,276,503
2021-01-11T15:10:35,275,508
2021-01-11T15:11:45,275,514
2021-01-11T15:12:45,276,519
2021-01-11T15:16:45,276,524
2021-01-11T15:17:45,277,532
2021-01-11T15:18:45,277,539
2021-01-11T15:19:55,277,544
2021-01-11T15:20:55,277,552
2021-01-11T15:21:55,277,566
2021-01-11T15:22:55,278,578
2021-01-11T15:23:55,277,586
2021-01-11T15:24:55,277,593
2021-01-11T15:26:15,277,598
2021-01-11T15:28:15,277,593
2021-01-11T15:29:35,277,588
2021-01-11T15:30:45,277,583
